x,y,z,type
-70.35318238821618,-114.55983200166882,0.0,mesenchymal
-29.907230489847127,-109.96330074682321,0.0,mesenchymal
-21.84152986464143,-131.55119182647738,0.0,mesenchymal
-2.5682285542354593,-133.5518210804631,0.0,mesenchymal
13.436881395568369,-129.62186384498168,0.0,mesenchymal
32.3193691181739,-122.33184980162963,0.0,mesenchymal
70.33717175055722,-119.69767875582336,0.0,mesenchymal
10.258341099793585,109.87262742173259,0.0,mesenchymal
-52.80945268509065,-92.22937039681213,0.0,mesenchymal
-10.790806447484076,-119.06802632482866,0.0,epithelial
7.3470466977777,-100.53084165056558,0.0,epithelial
22.307709364536816,-97.61410463445448,0.0,epithelial
33.054667597624814,-105.96471086441984,0.0,epithelial
78.65395877272226,-95.05971211248011,0.0,epithelial
30.24340815225704,114.89219589581712,0.0,mesenchymal
-97.2529652417734,-68.07961434139364,0.0,mesenchymal
-79.70104596256009,-89.76298491975092,0.0,epithelial
-41.313862958502355,-81.59290607016662,0.0,epithelial
-7.651597774146927,-103.97488024503451,0.0,epithelial
10.088470401063981,-85.97302018755751,0.0,epithelial
37.59480366537109,-90.76761986858175,0.0,epithelial
52.302765857815736,-96.01919969122626,0.0,epithelial
64.02779793776939,-73.38428324154698,0.0,epithelial
94.36780604266481,-91.20199158538433,0.0,mesenchymal
-113.094100961563,-69.10508455655483,0.0,mesenchymal
-79.11628758809432,-74.54703776078141,0.0,epithelial
-52.76275275735342,-73.7263834106177,0.0,epithelial
-22.484766066972153,-64.09725152417991,0.0,epithelial
2.13231212823856,-74.51489197935867,0.0,epithelial
26.031144608241522,-81.6440035633463,0.0,epithelial
50.936373310059,-66.14960570775584,0.0,epithelial
62.969725727688754,-59.669260525070214,0.0,epithelial
90.01993181904577,-57.11057815259685,0.0,epithelial
110.61031776584842,-69.6133336303358,0.0,mesenchymal
-109.75196713391314,-50.47320643243,0.0,mesenchymal
-79.96107718500512,-44.83568695886917,0.0,epithelial
-65.77511800848005,-51.79372888440181,0.0,epithelial
-51.10236037542439,-58.393368555410596,0.0,epithelial
-12.68105903567261,-76.20042306530208,0.0,epithelial
-29.570396528243627,-40.78600612067711,0.0,epithelial
23.168079763731342,-68.58772540860187,0.0,epithelial
48.938322382102946,-52.47249789198533,0.0,epithelial
62.185802453457356,-43.21347723081558,0.0,epithelial
87.93232432418675,-42.561728750589964,0.0,epithelial
111.63324669633734,-51.078445152412755,0.0,mesenchymal
-129.93105383101062,9.691808125962137,0.0,mesenchymal
-94.43840018240658,-22.561236073032635,0.0,epithelial
-67.0881278525682,-36.58294527150997,0.0,epithelial
-55.753774530931565,-27.729156599259987,0.0,epithelial
-30.23435348046747,-25.122769978784294,0.0,epithelial
9.205508784804177,-31.58877162665267,0.0,epithelial
19.375739834437585,-7.598031084295476,0.0,epithelial
35.29304156746692,-29.520925806521372,0.0,epithelial
61.185968362853146,-30.165820572273866,0.0,epithelial
71.76495452880256,-5.01795664454824,0.0,epithelial
99.15396456004639,-17.220593776322662,0.0,epithelial
136.4728186248811,-10.000554068312791,0.0,mesenchymal
-108.59118514249745,-13.216520415850201,0.0,epithelial
-82.24953979771742,-14.40849658532592,0.0,epithelial
-57.093545988901774,-12.334546551895839,0.0,epithelial
-41.64256543408941,-19.152977550157328,0.0,epithelial
-16.121437251170263,-16.837419675659834,0.0,epithelial
20.03359129103828,8.952389478404504,0.0,epithelial
20.971332243679356,-22.643595597166208,0.0,epithelial
59.391259931992174,-0.7477193182213598,0.0,epithelial
60.220710586639534,-12.808752084288585,0.0,epithelial
86.2745052762571,-11.675674419581634,0.0,epithelial
97.90463276281672,-2.031222060769472,0.0,epithelial
-110.17426803643285,10.345713165424405,0.0,mesenchymal
-94.575313723499,-7.0193223526235,0.0,epithelial
-83.67850889129615,0.8593198659997907,0.0,epithelial
-42.84847510464667,-3.1618551550369722,0.0,epithelial
-30.79462281733392,-10.009912129876138,0.0,epithelial
-17.758693596874224,14.202508198033932,0.0,epithelial
8.340636305853211,16.453353642549203,0.0,epithelial
43.94985173661259,8.374858965223549,0.0,epithelial
34.22216672208771,-15.360378469305642,0.0,epithelial
71.53798168698309,10.301979077800105,0.0,epithelial
