
Microenvironment summary: 
microenvironment: 
Microenvironment_private_data:
temporary_density_vectors1:
38 0.000100853 
38 0.000100839 
38 0.00010081 
38 0.000100767 
38 0.000100711 
38 0.000100642 
38 0.000100562 
38 0.00010047 
38 0.000100368 
38 0.000100258 
38 0.000100141 
38 0.000100019 
38 9.98933e-05 
38 9.97661e-05 
38 9.96393e-05 
38 9.95153e-05 
38 9.9396e-05 
38 9.92838e-05 
38 9.91807e-05 
38 9.90889e-05 
38 9.901e-05 
38 9.89459e-05 
38 9.88979e-05 
38 9.8867e-05 
38 9.8854e-05 
38 9.88592e-05 
38 9.88824e-05 
38 9.89232e-05 
38 9.89808e-05 
38 9.90539e-05 
38 9.9141e-05 
38 9.92405e-05 
38 9.93504e-05 
38 9.94687e-05 
38 9.95932e-05 
38 9.97218e-05 
38 9.98524e-05 
38 9.99829e-05 
38 0.000100111 
38 0.000100236 
38 0.000100354 
38 0.000100466 
38 0.000100568 
38 0.000100661 
38 0.000100742 
38 0.000100811 
38 0.000100867 
38 0.00010091 
38 0.000100939 
38 0.000100953 
38 0.000100839 
37.1217 0.000100824 
36.9929 0.000100795 
36.87 0.000100752 
36.7525 0.000100695 
36.6399 0.000100625 
36.532 0.000100543 
36.4285 0.00010045 
36.3293 0.000100346 
36.2342 0.000100235 
36.1433 0.000100116 
36.0565 9.99912e-05 
35.9739 9.98631e-05 
35.8958 9.97334e-05 
35.8222 9.96042e-05 
35.7536 9.94776e-05 
35.6902 9.93558e-05 
35.6325 9.92411e-05 
35.5808 9.91357e-05 
35.5356 9.90417e-05 
35.4973 9.8961e-05 
35.4664 9.88953e-05 
35.4432 9.88461e-05 
35.4281 9.88145e-05 
35.4213 9.88011e-05 
35.4229 9.88064e-05 
35.4327 9.88302e-05 
35.4507 9.8872e-05 
35.4764 9.89309e-05 
35.5096 9.90057e-05 
35.5499 9.90949e-05 
35.5967 9.91966e-05 
35.6498 9.93089e-05 
35.7085 9.94296e-05 
35.7725 9.95567e-05 
35.8415 9.96878e-05 
35.9152 9.98208e-05 
35.9932 9.99537e-05 
36.0754 0.000100084 
36.1617 0.000100211 
36.252 0.000100331 
36.3462 0.000100444 
36.4445 0.000100549 
36.5469 0.000100642 
36.6537 0.000100725 
36.765 0.000100795 
36.8812 0.000100852 
37.0028 0.000100896 
37.1303 0.000100925 
38 0.00010094 
38 0.00010081 
36.989 0.000100795 
36.8394 0.000100765 
36.6966 0.000100721 
36.5599 0.000100662 
36.4289 0.00010059 
36.3032 0.000100506 
36.1827 0.000100409 
36.067 0.000100303 
35.9561 0.000100187 
35.8499 0.000100064 
35.7485 9.99355e-05 
35.652 9.98028e-05 
35.5606 9.96681e-05 
35.4745 9.95338e-05 
35.3941 9.9402e-05 
35.3198 9.92751e-05 
35.2521 9.91554e-05 
35.1914 9.90453e-05 
35.1383 9.89469e-05 
35.0933 9.88624e-05 
35.0569 9.87936e-05 
35.0296 9.87419e-05 
35.0118 9.87087e-05 
35.0038 9.86947e-05 
35.0057 9.87002e-05 
35.0173 9.87252e-05 
35.0385 9.8769e-05 
35.0688 9.88307e-05 
35.1079 9.8909e-05 
35.1552 9.90022e-05 
35.2103 9.91084e-05 
35.2725 9.92255e-05 
35.3414 9.93513e-05 
35.4165 9.94835e-05 
35.4973 9.96197e-05 
35.5835 9.97577e-05 
35.6747 9.98954e-05 
35.7708 0.000100031 
35.8716 0.000100161 
35.9769 0.000100286 
36.0869 0.000100402 
36.2014 0.00010051 
36.3207 0.000100606 
36.445 0.000100691 
36.5746 0.000100764 
36.7097 0.000100822 
36.851 0.000100867 
36.9989 0.000100897 
38 0.000100912 
38 0.000100768 
36.8627 0.000100752 
36.6932 0.000100721 
36.531 0.000100675 
36.3756 0.000100614 
36.2266 0.000100538 
36.0835 0.00010045 
35.946 0.00010035 
35.8139 0.000100238 
35.6872 0.000100117 
35.5657 9.99877e-05 
35.4496 9.98521e-05 
35.3389 9.97123e-05 
35.234 9.95701e-05 
35.1351 9.94281e-05 
35.0425 9.92884e-05 
34.9569 9.91536e-05 
34.8787 9.90263e-05 
34.8085 9.89089e-05 
34.7471 9.88038e-05 
34.6949 9.87134e-05 
34.6527 9.86397e-05 
34.621 9.85843e-05 
34.6003 9.85487e-05 
34.5911 9.85336e-05 
34.5934 9.85395e-05 
34.6069 9.85662e-05 
34.6316 9.86132e-05 
34.6668 9.86792e-05 
34.7121 9.87629e-05 
34.767 9.88624e-05 
34.8307 9.89755e-05 
34.9027 9.91e-05 
34.9822 9.92335e-05 
35.0687 9.93735e-05 
35.1616 9.95175e-05 
35.2607 9.96631e-05 
35.3654 9.9808e-05 
35.4755 9.99501e-05 
35.5909 0.000100087 
35.7113 0.000100218 
35.8369 0.00010034 
35.9676 0.000100452 
36.1037 0.000100553 
36.2452 0.000100641 
36.3926 0.000100716 
36.5462 0.000100778 
36.7066 0.000100824 
36.8742 0.000100855 
38 0.000100871 
38 0.000100712 
36.7424 0.000100696 
36.5536 0.000100663 
36.3727 0.000100614 
36.1991 0.00010055 
36.0324 0.00010047 
35.872 0.000100377 
35.7178 0.00010027 
35.5694 0.000100152 
35.4269 0.000100023 
35.29 9.98859e-05 
35.159 9.97413e-05 
35.034 9.95918e-05 
34.9152 9.94395e-05 
34.803 9.92868e-05 
34.6979 9.91364e-05 
34.6004 9.89909e-05 
34.5112 9.8853e-05 
34.431 9.87256e-05 
34.3606 9.86113e-05 
34.3008 9.85127e-05 
34.2523 9.84321e-05 
34.2158 9.83716e-05 
34.192 9.83325e-05 
34.1815 9.8316e-05 
34.1842 9.83224e-05 
34.1999 9.83517e-05 
34.2284 9.8403e-05 
34.269 9.84751e-05 
34.321 9.85662e-05 
34.3839 9.86743e-05 
34.4569 9.8797e-05 
34.5391 9.89318e-05 
34.6297 9.90758e-05 
34.7281 9.92264e-05 
34.8337 9.9381e-05 
34.9459 9.95369e-05 
35.0644 9.96917e-05 
35.1888 9.98432e-05 
35.3189 9.9989e-05 
35.4545 0.000100127 
35.5957 0.000100257 
35.7425 0.000100375 
35.8951 0.000100482 
36.0536 0.000100575 
36.2184 0.000100654 
36.39 0.000100719 
36.5688 0.000100767 
36.7555 0.0001008 
38 0.000100817 
38 0.000100644 
36.6275 0.000100626 
36.4201 0.000100591 
36.2211 0.000100539 
36.0297 0.000100471 
35.8456 0.000100386 
35.6683 0.000100286 
35.4975 0.000100173 
35.333 0.000100046 
35.1745 9.99075e-05 
35.0222 9.97594e-05 
34.8761 9.96033e-05 
34.7363 9.94415e-05 
34.6033 9.92762e-05 
34.4774 9.91099e-05 
34.3591 9.89456e-05 
34.2492 9.87861e-05 
34.1484 9.86346e-05 
34.0575 9.8494e-05 
33.9775 9.83676e-05 
33.9095 9.82583e-05 
33.8542 9.81688e-05 
33.8125 9.81013e-05 
33.7852 9.80578e-05 
33.7733 9.80394e-05 
33.7766 9.80465e-05 
33.7946 9.80791e-05 
33.8274 9.81362e-05 
33.8738 9.82163e-05 
33.9331 9.83173e-05 
34.0047 9.84368e-05 
34.0876 9.8572e-05 
34.1807 9.87199e-05 
34.2831 9.88776e-05 
34.394 9.90421e-05 
34.5126 9.92103e-05 
34.6385 9.93794e-05 
34.7711 9.95469e-05 
34.91 9.97102e-05 
35.055 9.98671e-05 
35.2059 0.000100016 
35.3627 0.000100154 
35.5255 0.000100281 
35.6943 0.000100394 
35.8696 0.000100494 
36.0515 0.000100578 
36.2405 0.000100646 
36.4372 0.000100698 
36.6422 0.000100733 
38 0.00010075 
38 0.000100564 
36.5176 0.000100545 
36.2923 0.000100507 
36.0756 0.000100452 
35.867 0.000100378 
35.666 0.000100287 
35.472 0.00010018 
35.2847 0.000100057 
35.104 9.99196e-05 
34.9296 9.97698e-05 
34.7617 9.96088e-05 
34.6002 9.94387e-05 
34.4454 9.92617e-05 
34.2977 9.90803e-05 
34.1575 9.88972e-05 
34.0255 9.87156e-05 
33.9024 9.85387e-05 
33.7891 9.83699e-05 
33.6868 9.82128e-05 
33.5965 9.80709e-05 
33.5194 9.79479e-05 
33.4566 9.78468e-05 
33.4091 9.77705e-05 
33.378 9.77212e-05 
33.3646 9.77003e-05 
33.3685 9.77085e-05 
33.3892 9.77455e-05 
33.4267 9.781e-05 
33.4796 9.79004e-05 
33.5469 9.8014e-05 
33.6281 9.81479e-05 
33.7216 9.82989e-05 
33.8264 9.84636e-05 
33.9413 9.86385e-05 
34.0654 9.88201e-05 
34.1978 9.90053e-05 
34.3378 9.91908e-05 
34.4848 9.93738e-05 
34.6386 9.95517e-05 
34.7987 9.97221e-05 
34.965 9.9883e-05 
35.1374 0.000100032 
35.3161 0.000100169 
35.5011 0.000100291 
35.6927 0.000100398 
35.8913 0.000100488 
36.0973 0.000100561 
36.3114 0.000100616 
36.534 0.000100654 
38 0.000100672 
38 0.000100473 
36.4124 0.000100453 
36.1698 0.000100412 
35.9361 0.000100352 
35.7107 0.000100272 
35.493 0.000100174 
35.2825 0.000100057 
35.079 9.9924e-05 
34.8821 9.97748e-05 
34.6918 9.96112e-05 
34.508 9.94349e-05 
34.3309 9.9248e-05 
34.1606 9.90528e-05 
33.9977 9.8852e-05 
33.8426 9.86486e-05 
33.696 9.84459e-05 
33.5589 9.82476e-05 
33.4323 9.80575e-05 
33.3175 9.78799e-05 
33.2159 9.77188e-05 
33.1289 9.75785e-05 
33.0577 9.74628e-05 
33.0037 9.73753e-05 
32.9683 9.73186e-05 
32.9533 9.72947e-05 
32.9581 9.73042e-05 
32.9818 9.73468e-05 
33.0247 9.74209e-05 
33.0848 9.75242e-05 
33.161 9.76537e-05 
33.2526 9.78057e-05 
33.3578 9.79764e-05 
33.4753 9.81618e-05 
33.6036 9.83577e-05 
33.7416 9.85604e-05 
33.8884 9.8766e-05 
34.0431 9.89713e-05 
34.2052 9.9173e-05 
34.3741 9.93684e-05 
34.5496 9.95549e-05 
34.7314 9.97303e-05 
34.9195 9.98929e-05 
35.114 0.000100041 
35.3149 0.000100173 
35.5227 0.000100288 
35.7376 0.000100386 
35.9602 0.000100464 
36.1909 0.000100524 
36.4305 0.000100564 
38 0.000100584 
38 0.000100372 
36.3116 0.00010035 
36.0524 0.000100307 
35.8022 0.000100241 
35.5604 0.000100155 
35.3264 0.000100048 
35.0997 9.99213e-05 
34.8801 9.97756e-05 
34.6671 9.96123e-05 
34.4607 9.94328e-05 
34.2609 9.92387e-05 
34.0677 9.90322e-05 
33.8816 9.88156e-05 
33.7028 9.85919e-05 
33.532 9.83642e-05 
33.37 9.81362e-05 
33.2178 9.7912e-05 
33.0768 9.76961e-05 
32.9484 9.74932e-05 
32.8342 9.73083e-05 
32.7362 9.71464e-05 
32.6557 9.70125e-05 
32.5943 9.69108e-05 
32.5539 9.68449e-05 
32.5372 9.68171e-05 
32.543 9.68284e-05 
32.5703 9.68782e-05 
32.6194 9.69644e-05 
32.6876 9.70841e-05 
32.7736 9.72334e-05 
32.8769 9.74078e-05 
32.995 9.76027e-05 
33.1263 9.78132e-05 
33.2691 9.80347e-05 
33.422 9.82626e-05 
33.584 9.84928e-05 
33.7541 9.87215e-05 
33.9317 9.89453e-05 
34.1162 9.91611e-05 
34.3073 9.93664e-05 
34.5048 9.95588e-05 
34.7086 9.97365e-05 
34.9188 9.98979e-05 
35.1356 0.000100042 
35.3592 0.000100167 
35.5901 0.000100272 
35.8287 0.000100357 
36.0756 0.000100421 
36.3316 0.000100464 
38 0.000100486 
38 0.000100263 
36.2152 0.00010024 
35.9399 0.000100192 
35.6738 0.000100121 
35.416 0.000100027 
35.1661 9.99108e-05 
34.9235 9.97724e-05 
